Title,Location,Price,Area
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Admiraal De Ruijterweg,            1055 NE Amsterdam (Landlust)        ,"                €1,850 per month            ",61 m²
Apartment Rondeel 28,            1083 ME Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",90 m²
Apartment Rosy Wertheimstraat 95,            1082 MZ Amsterdam (Zuidas)        ,"                €2,950 per month            ",72 m²
Apartment Marie Heinekenplein,            1072 MK Amsterdam (Oude Pijp)        ,"                €1,900 per month            ",80 m²
Apartment Werengouw 397,            1024 NZ Amsterdam (Waterlandpleinbuurt)        ,"                €1,600 per month            ",65 m²
Apartment Ruysdaelstraat 19 II,            1071 WZ Amsterdam (Museumkwartier)        ,"                €2,000 per month            ",67 m²
Apartment Tweede van Swindenstraat 190 I,            1093 XA Amsterdam (Dapperbuurt)        ,"                €1,550 per month            ",42 m²
Apartment Eerste Helmersstraat 171 D,            1054 DS Amsterdam (Helmersbuurt)        ,"                €3,500 per month            ",131 m²
Apartment Nageljongenstraat,            1033 PE Amsterdam (Tuindorp Oostzaan)        ,"                €1,700 per month            ",73 m²
Apartment Amstelveenseweg,            1075 XR Amsterdam (Schinkelbuurt)        ,"                €3,000 per month            ",92 m²
Apartment Fred. Roeskestraat,            1076 ED Amsterdam (Zuidas)        ,"                €2,950 per month            ",92 m²
Apartment Mendelhof,            1098 TN Amsterdam (Middenmeer)        ,"                €2,450 per month            ",95 m²
Apartment Pieter van der Doesstraat,            1056 VG Amsterdam (Geuzenbuurt)        ,"                €2,350 per month            ",130 m²
Apartment Beulingstraat,            1017 BA Amsterdam (Grachtengordel-Zuid)        ,"                €3,300 per month            ",120 m²
Apartment Bestevâerstraat,            1056 HN Amsterdam (Geuzenbuurt)        ,"                €1,900 per month            ",77 m²
Apartment Nassaukade,            1052 CJ Amsterdam (Staatsliedenbuurt)        ,"                €2,975 per month            ",128 m²
Apartment Oudezijds Achterburgwal,            1012 DV Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,250 per month            ",102 m²
Apartment Van Nijenrodeweg,            1082 HP Amsterdam (Buitenveldert-West)        ,"                €2,000 per month            ",87 m²
Apartment Prinsengracht,            1016 HJ Amsterdam (Jordaan)        ,"                €2,000 per month            ",55 m²
Apartment Goudsbloemstraat,            1015 JT Amsterdam (Jordaan)        ,"                €3,000 per month            ",181 m²
Apartment Madurastraat,            1094 GL Amsterdam (Indische Buurt West)        ,"                €1,650 per month            ",57 m²
Apartment Agamemnonstraat 3 HS,            1076 LN Amsterdam (Stadionbuurt)        ,"                €2,650 per month            ",75 m²
Apartment Van Tuyll van Serooskerkenweg,            1076 JJ Amsterdam (Stadionbuurt)        ,"                €3,750 per month            ",140 m²
Apartment Albatrospad 142,            1021 TR Amsterdam (IJplein/Vogelbuurt)        ,"                €3,500 per month            ",130 m²
Apartment Prinsengracht,            1017 JH Amsterdam (Grachtengordel-Zuid)        ,"                €1,200 per month            ",20 m²
Apartment Piet Gijzenbrugstraat 39,            1059 XG Amsterdam (Hoofddorppleinbuurt)        ,"                €2,400 per month            ",110 m²
Apartment Schierstins 137,            1082 TG Amsterdam (Buitenveldert-West)        ,"                €1,750 per month            ",50 m²
Apartment Osdorpplein 145,            1068 SR Amsterdam (Osdorp-Oost)        ,"                €1,750 per month            ",100 m²
Apartment Korte Ouderkerkerdijk,            1096 AC Amsterdam (Omval/Overamstel)        ,"                €7,000 per month            ",156 m²
Apartment Krom Boomssloot 63 E,            1011 GS Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,750 per month            ",63 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Singel 119 D,            1012 VH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,750 per month            ",70 m²
Apartment Nieuwezijds Voorburgwal 299 III,            1012 RM Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,495 per month            ",125 m²
Apartment Raamstraat 14 D,            1016 XM Amsterdam (Jordaan)        ,"                €1,650 per month            ",50 m²
Apartment Keizersgracht,            1017 EM Amsterdam (Grachtengordel-Zuid)        ,"                €10,750 per month            ",320 m²
Apartment Swammerdamstraat 61 2,            1091 RS Amsterdam (Weesperzijde)        ,"                €2,550 per month            ",98 m²
Apartment Kinkerstraat,            1053 GA Amsterdam (Kinkerbuurt)        ,"                €1,850 per month            ",63 m²
Apartment Hoogte Kadijk 131,            1018 BH Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",120 m²
Apartment Kattenburgerhof 27,            1018 KC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,500 per month            ",85 m²
Apartment Van Oldenbarneveldtstraat,            1052 KH Amsterdam (Frederik Hendrikbuurt)        ,"                €1,950 per month            ",55 m²
Studio Laurierstraat 67 D,            1016 PJ Amsterdam (Jordaan)        ,"                €1,500 per month            ",35 m²
Apartment De Wittenstraat 49 3,            1052 AL Amsterdam (Staatsliedenbuurt)        ,"                €2,650 per month            ",100 m²
Apartment Nieuwpoortstraat 94 A15,            1055 RZ Amsterdam (Landlust)        ,"                €1,750 per month            ",56 m²
Apartment Lambertus Zijlplein 38,            1067 JS Amsterdam (Geuzenveld)        ,"                €1,850 per month            ",89 m²
Apartment Zocherstraat 27 III,            1054 LR Amsterdam (Overtoomse Sluis)        ,"                €3,250 per month            ",140 m²
Apartment Bronckhorststraat,            1071 WR Amsterdam (Museumkwartier)        ,"                €1,950 per month            ",64 m²
Apartment Osdorpplein,            1068 EK Amsterdam (Osdorp-Oost)        ,"                €1,695 per month            ",95 m²
Apartment Martini van Geffenstraat,            1068 GG Amsterdam (Osdorp-Oost)        ,"                €1,350 per month            ",45 m²
Apartment Milletstraat,            1077 ZC Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",102 m²
Apartment Kerkstraat,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,350 per month            ",75 m²
Apartment Westerstraat,            1015 LW Amsterdam (Jordaan)        ,"                €1,950 per month            ",48 m²
Apartment Nieuwezijds Voorburgwal 308 L,            1012 RV Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,950 per month            ",120 m²
Apartment Jacob Krüsestraat,            1106 ZL Amsterdam (Gein)        ,"                €2,800 per month            ",129 m²
Apartment Pieter de Hoochstraat 25 G,            1071 ED Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",97 m²
House Nieuwe Looiersstraat,            1017 VB Amsterdam (De Weteringschans)        ,"                €4,750 per month            ",159 m²
Apartment Egidiusstraat,            1055 GK Amsterdam (Erasmuspark)        ,"                €1,495 per month            ",35 m²
Studio Welnastraat,            1096 GJ Amsterdam (Omval/Overamstel)        ,"                €1,425 per month            ",28 m²
Apartment J.J. Cremerplein 40 3,            1054 TL Amsterdam (Overtoomse Sluis)        ,"                €2,850 per month            ",90 m²
House Sarphatipark 102 HS,            1073 EC Amsterdam (Nieuwe Pijp)        ,"                €4,500 per month            ",160 m²
Apartment George Gershwinlaan 81 D,            1082 MT Amsterdam (Zuidas)        ,"                €4,850 per month            ",120 m²
Apartment Wiborgeiland,            1014 ZC Amsterdam (Houthavens)        ,"                €2,500 per month            ",100 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Valeriusstraat,            1075 GL Amsterdam (Willemspark)        ,"                €2,250 per month            ",70 m²
Apartment Herengracht,            1016 BV Amsterdam (Grachtengordel-West)        ,"                €2,250 per month            ",65 m²
Apartment Nepveustraat 14 I,            1058 XP Amsterdam (Westindische Buurt)        ,"                €2,200 per month            ",61 m²
Apartment Jacob van Lennepkade,            1054 ZE Amsterdam (Helmersbuurt)        ,"                €2,500 per month            ",94 m²
Apartment Nedersticht,            1083 XG Amsterdam (Buitenveldert-Oost)        ,"                €1,550 per month            ",65 m²
Apartment Plantage Middenlaan 8 C,            1018 DD Amsterdam (Weesperbuurt/Plantage)        ,"                €4,250 per month            ",160 m²
House Windjammerdijk,            1086 VC Amsterdam (IJburg West)        ,"                €3,250 per month            ",165 m²
Apartment Benedenlangs,            1025 KB Amsterdam (Buikslotermeer)        ,"                €1,449 per month            ",55 m²
Apartment Sierplein,            1065 LM Amsterdam (Slotervaart Zuid)        ,"                €1,300 per month            ",73 m²
Apartment Eerste Van Swindenstraat 76 H,            1093 GH Amsterdam (Dapperbuurt)        ,"                €2,250 per month            ",59 m²
Apartment Michelangelostraat,            1077 BZ Amsterdam (Apollobuurt)        ,"                €2,350 per month            ",85 m²
Apartment Keizersgracht 812 F,            1017 ED Amsterdam (Grachtengordel-Zuid)        ,"                €3,400 per month            ",117 m²
House Kantershof,"            1104 GM Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,750 per month            ",90 m²
Apartment Hoofdweg 324 Hs,            1056 DA Amsterdam (Van Galenbuurt)        ,"                €2,400 per month            ",72 m²
House Copernicusstraat,            1098 JE Amsterdam (Middenmeer)        ,"                €1,695 per month            ",50 m²
Apartment Reinier Claeszenstraat,            1056 WC Amsterdam (Geuzenbuurt)        ,"                €2,900 per month            ",120 m²
Apartment Nieuwezijds Voorburgwal,            1012 RK Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,350 per month            ",68 m²
Apartment Eerste Van Swindenstraat 76 D,            1093 GH Amsterdam (Dapperbuurt)        ,"                €1,750 per month            ",48 m²
Apartment Berthold Brechtstraat,"            1102 RS Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,650 per month            ",55 m²
Apartment Singel 91 E,            1012 VG Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,850 per month            ",110 m²
Apartment Valeriusstraat 24 hs,            1071 MJ Amsterdam (Museumkwartier)        ,"                €4,750 per month            ",148 m²
Apartment Hoendiepstraat 46 2,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,950 per month            ",128 m²
Apartment Amstelkade 178 II,            1078 BA Amsterdam (Scheldebuurt)        ,"                €2,600 per month            ",95 m²
Apartment Floris Versterstraat,            1058 JM Amsterdam (Hoofddorppleinbuurt)        ,"                €3,000 per month            ",91 m²
Apartment Zocherstraat 20 ¹,            1054 LX Amsterdam (Overtoomse Sluis)        ,"                €2,086 per month            ",80 m²
Apartment Paramaribostraat 35 III,            1058 VG Amsterdam (Westindische Buurt)        ,"                €1,950 per month            ",50 m²
Apartment Kerdijkhof 22,            1067 MN Amsterdam (Geuzenveld)        ,"                €2,150 per month            ",86 m²
Apartment Kerkstraat,            1017 HW Amsterdam (Grachtengordel-Zuid)        ,"                €5,000 per month            ",120 m²
Apartment Kleiburg 546,"            1104 EA Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,550 per month            ",60 m²
Apartment Valkenburgerstraat 134 E,            1011 NA Amsterdam (Nieuwmarkt/Lastage)        ,"                €3,150 per month            ",95 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Silvoldestraat 75,            1107 TD Amsterdam (Holendrecht/Reigersbos)        ,"                €1,450 per month            ",72 m²
House Lijnbaansgracht,            1015 GS Amsterdam (Jordaan)        ,"                €2,300 per month            ",57 m²
Apartment Bloemgracht 110 B,            1015 TN Amsterdam (Jordaan)        ,"                €2,650 per month            ",103 m²
Apartment Gustav Mahlerplein 165,            1082 MS Amsterdam (Zuidas)        ,"                €2,850 per month            ",104 m²
Apartment Marcusstraat,            1091 TJ Amsterdam (Weesperzijde)        ,"                €3,500 per month            ",117 m²
Apartment Maassluisstraat,            1062 GZ Amsterdam (Westlandgracht)        ,"                €2,150 per month            ",65 m²
Apartment Koningin Wilhelminaplein,            1062 KS Amsterdam (Westlandgracht)        ,"                €1,625 per month            ",64 m²
Apartment Stadionplein 81,            1076 CK Amsterdam (Stadionbuurt)        ,"                €3,250 per month            ",120 m²
Apartment Klaprozenweg,            1032 KX Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,250 per month            ",45 m²
House Scheepsbouwweg,            1033 DC Amsterdam (Tuindorp Oostzaan)        ,"                €2,250 per month            ",90 m²
Apartment IJselstraat 87 H,            1078 CG Amsterdam (IJselbuurt)        ,"                €2,000 per month            ",50 m²
Apartment IJselstraat 87 4,            1078 CG Amsterdam (IJselbuurt)        ,"                €1,900 per month            ",50 m²
Apartment Tweede Jan Steenstraat 44 B,            1074 CP Amsterdam (Oude Pijp)        ,"                €2,000 per month            ",55 m²
Apartment Prinsengracht,            1015 DT Amsterdam (Grachtengordel-West)        ,"                €2,850 per month            ",130 m²
Apartment Witte de Withstraat,            1057 XD Amsterdam (Chassébuurt)        ,"                €2,950 per month            ",137 m²
Apartment Bertrand Russellstraat 164,            1097 HM Amsterdam (Frankendael)        ,"                €2,100 per month            ",82 m²
Apartment Eerste Schinkelstraat 23 H,            1075 TV Amsterdam (Schinkelbuurt)        ,"                €3,950 per month            ",150 m²
Apartment Jacob Obrechtstraat,            1071 KC Amsterdam (Museumkwartier)        ,"                €2,250 per month            ",60 m²
Apartment Mary van der Sluisstraat 272,            1095 ME Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,750 per month            ",95 m²
Apartment Korte Leidsedwarsstraat,            1017 PX Amsterdam (De Weteringschans)        ,"                €1,950 per month            ",85 m²
Apartment Van Ostadestraat,            1073 TK Amsterdam (Nieuwe Pijp)        ,"                €1,895 per month            ",51 m²
Apartment Burgemeester Hogguerstraat 347,            1064 CR Amsterdam (Slotermeer-Zuidwest)        ,"                €2,425 per month            ",78 m²
Apartment Laing's Nekstraat 35 1,            1092 GT Amsterdam (Transvaalbuurt)        ,"                €2,150 per month            ",75 m²
Apartment Eerste Constantijn Huygensstraat,            1054 BR Amsterdam (Helmersbuurt)        ,"                €1,335 per month            ",59 m²
Apartment Egelantiersstraat,            1015 PS Amsterdam (Jordaan)        ,"                €1,650 per month            ",55 m²
Apartment Réaumurstraat 45 HS,            1097 RE Amsterdam (Frankendael)        ,"                €1,995 per month            ",85 m²
Apartment Stadionkade 40 3,            1077 VP Amsterdam (Apollobuurt)        ,"                €2,375 per month            ",114 m²
Apartment Sint Willibrordusstraat,            1073 VD Amsterdam (Nieuwe Pijp)        ,"                €1,800 per month            ",55 m²
Apartment Piet Gijzenbrugstraat 30 2,            1059 XJ Amsterdam (Hoofddorppleinbuurt)        ,"                €2,300 per month            ",80 m²
House Van Breestraat 139 hs,            1071 ZL Amsterdam (Museumkwartier)        ,"                €4,950 per month            ",140 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Milovan Djilasplein 26,"            1102 JZ Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,850 per month            ",105 m²
Apartment Des Présstraat 4 huis,            1075 NX Amsterdam (Willemspark)        ,"                €4,000 per month            ",138 m²
Apartment Pieter de Hoochstraat 23 A + PP,            1071 ED Amsterdam (Museumkwartier)        ,"                €3,000 per month            ",114 m²
Apartment Rustenburgerstraat,            1072 HD Amsterdam (Nieuwe Pijp)        ,"                €2,150 per month            ",55 m²
Apartment Lodewijk Boisotstraat 13,            1057 ZM Amsterdam (Chassébuurt)        ,"                €2,600 per month            ",87 m²
Apartment Maarten Jansz. Kosterstraat,            1017 VX Amsterdam (De Weteringschans)        ,"                €3,150 per month            ",120 m²
Apartment Beethovenstraat 73 B,            1077 HP Amsterdam (Apollobuurt)        ,"                €2,200 per month            ",73 m²
Apartment Overtoom,            1054 LM Amsterdam (Overtoomse Sluis)        ,"                €2,500 per month            ",72 m²
Apartment Tweede Sweelinckstraat 22 1,            1073 EH Amsterdam (Nieuwe Pijp)        ,"                €1,740 per month            ",55 m²
Apartment Hellingstraat,            1033 WW Amsterdam (Noordelijke IJ-oevers West)        ,"                €1,950 per month            ",58 m²
Apartment Tussen Meer 164,            1069 DV Amsterdam (Osdorp-Midden)        ,"                €2,500 per month            ",72 m²
Apartment Prinsengracht 979 hs,            1017 KM Amsterdam (Grachtengordel-Zuid)        ,"                €1,795 per month            ",70 m²
Apartment Minervalaan,            1077 NL Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",135 m²
Apartment Oudeschans 79 E,            1011 KW Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,800 per month            ",65 m²
Apartment Molenpad 14 1,            1016 GM Amsterdam (Grachtengordel-West)        ,"                €2,500 per month            ",100 m²
Apartment Kerkstraat 209 3,            1017 GJ Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",71 m²
Apartment Balboastraat,            1057 VS Amsterdam (Hoofdweg e.o.)        ,"                €2,900 per month            ",90 m²
Apartment Aalsmeerweg,            1059 AA Amsterdam (Hoofddorppleinbuurt)        ,"                €1,850 per month            ",65 m²
Apartment Klaas Katerstraat,            1069 RT Amsterdam (Osdorp-Midden)        ,"                €2,200 per month            ",80 m²
Apartment Bijlmerdreef,"            1103 TX Amsterdam (Bijlmer Oost (E,G,K))        ","                €1,700 per month            ",74 m²
Apartment Banstraat 28 II,            1071 KA Amsterdam (Museumkwartier)        ,"                €5,250 per month            ",150 m²
Apartment Marcantilaan,            1051 NE Amsterdam (Centrale Markt)        ,"                €3,100 per month            ",104 m²
Apartment Nassaukade,            1052 CK Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",55 m²
Apartment Nieuwe Hoogstraat,            1011 HD Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,800 per month            ",65 m²
Apartment Haringvlietstraat 15 I,            1078 JZ Amsterdam (Scheldebuurt)        ,"                €2,700 per month            ",91 m²
Apartment Spuistraat 257 D,            1012 VR Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,750 per month            ",60 m²
Apartment Van Baerlestraat 76 C,            1071 BB Amsterdam (Museumkwartier)        ,"                €3,250 per month            ",85 m²
Studio Solitudopad,            1096 DR Amsterdam (Omval/Overamstel)        ,"                €1,650 per month            ",38 m²
Apartment Jacob van Lennepkade 65 III,            1054 ZH Amsterdam (Helmersbuurt)        ,"                €3,400 per month            ",127 m²
Apartment Herengracht,            1015 BK Amsterdam (Grachtengordel-West)        ,"                €4,500 per month            ",161 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
