Title,Location,Price,Area
Apartment Paramaribostraat 156 1,            1058 VR Amsterdam (Westindische Buurt)        ,"                €2,950 per month            ",102 m²
Apartment Hoendiepstraat 50 H,            1079 LX Amsterdam (Rijnbuurt)        ,"                €2,200 per month            ",70 m²
Apartment Singel 119 D,            1012 VH Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,750 per month            ",70 m²
Apartment Nieuwezijds Voorburgwal 299 III,            1012 RM Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €3,495 per month            ",125 m²
Apartment Raamstraat 14 D,            1016 XM Amsterdam (Jordaan)        ,"                €1,650 per month            ",50 m²
Apartment Keizersgracht,            1017 EM Amsterdam (Grachtengordel-Zuid)        ,"                €10,750 per month            ",320 m²
Apartment Swammerdamstraat 61 2,            1091 RS Amsterdam (Weesperzijde)        ,"                €2,550 per month            ",98 m²
Apartment Kinkerstraat,            1053 GA Amsterdam (Kinkerbuurt)        ,"                €1,850 per month            ",63 m²
Apartment Hoogte Kadijk 131,            1018 BH Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,750 per month            ",120 m²
Apartment Kattenburgerhof 27,            1018 KC Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €2,500 per month            ",85 m²
Apartment Van Oldenbarneveldtstraat,            1052 KH Amsterdam (Frederik Hendrikbuurt)        ,"                €1,950 per month            ",55 m²
Studio Laurierstraat 67 D,            1016 PJ Amsterdam (Jordaan)        ,"                €1,500 per month            ",35 m²
Apartment De Wittenstraat 49 3,            1052 AL Amsterdam (Staatsliedenbuurt)        ,"                €2,650 per month            ",100 m²
Apartment Nieuwpoortstraat 94 A15,            1055 RZ Amsterdam (Landlust)        ,"                €1,750 per month            ",56 m²
Apartment Lambertus Zijlplein 38,            1067 JS Amsterdam (Geuzenveld)        ,"                €1,850 per month            ",89 m²
Apartment Zocherstraat 27 III,            1054 LR Amsterdam (Overtoomse Sluis)        ,"                €3,250 per month            ",140 m²
Apartment Bronckhorststraat,            1071 WR Amsterdam (Museumkwartier)        ,"                €1,950 per month            ",64 m²
Apartment Osdorpplein,            1068 EK Amsterdam (Osdorp-Oost)        ,"                €1,695 per month            ",95 m²
Apartment Martini van Geffenstraat,            1068 GG Amsterdam (Osdorp-Oost)        ,"                €1,350 per month            ",45 m²
Apartment Milletstraat,            1077 ZC Amsterdam (Apollobuurt)        ,"                €2,750 per month            ",102 m²
Apartment Kerkstraat,            1017 GE Amsterdam (Grachtengordel-Zuid)        ,"                €2,350 per month            ",75 m²
Apartment Westerstraat,            1015 LW Amsterdam (Jordaan)        ,"                €1,950 per month            ",48 m²
Apartment Nieuwezijds Voorburgwal 308 L,            1012 RV Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,950 per month            ",120 m²
Apartment Jacob Krüsestraat,            1106 ZL Amsterdam (Gein)        ,"                €2,800 per month            ",129 m²
Apartment Pieter de Hoochstraat 25 G,            1071 ED Amsterdam (Museumkwartier)        ,"                €2,800 per month            ",97 m²
House Nieuwe Looiersstraat,            1017 VB Amsterdam (De Weteringschans)        ,"                €4,750 per month            ",159 m²
Apartment Egidiusstraat,            1055 GK Amsterdam (Erasmuspark)        ,"                €1,495 per month            ",35 m²
Studio Welnastraat,            1096 GJ Amsterdam (Omval/Overamstel)        ,"                €1,425 per month            ",28 m²
Apartment J.J. Cremerplein 40 3,            1054 TL Amsterdam (Overtoomse Sluis)        ,"                €2,850 per month            ",90 m²
House Sarphatipark 102 HS,            1073 EC Amsterdam (Nieuwe Pijp)        ,"                €4,500 per month            ",160 m²
Apartment George Gershwinlaan 81 D,            1082 MT Amsterdam (Zuidas)        ,"                €4,850 per month            ",120 m²
Apartment Wiborgeiland,            1014 ZC Amsterdam (Houthavens)        ,"                €2,500 per month            ",100 m²
